Rank,Code,CompanyName,TotalScore,Rank_Vol,Rank_Liq,Rank_Trend,Close,ATR_Ratio,MedianTurnover,TrendStrength
1,1357,Stock_1357,0.7999999999999999,1.0,1.0,0.3333333333333333,5011.0,0.0371092900503251,21318062437.0,-0.32151672728080377
2,1321,Stock_1321,0.6333333333333333,0.3333333333333333,0.6666666666666666,1.0,56230.0,0.015284998768539249,11393321210.0,0.20279875805183534
3,1332,Stock_1332,0.5666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,1155.0,0.018773960502207646,1447679300.0,0.11594893894895605
