Rank,Code,CompanyName,TotalScore,Rank_Vol,Rank_Liq,Rank_Trend,Close,ATR_Ratio,MedianTurnover,TrendStrength
1,8035,Stock_8035,0.9300000000000002,0.9,0.9,1.0,42310.0,0.03273187003387538,87338699500.0,0.4869104770258039
2,7011,Stock_7011,0.8,0.8,0.8,0.8,4710.0,0.029731613952027256,80039567750.0,0.2750909619911424
3,8306,Stock_8306,0.69,0.3,1.0,0.9,2879.5,0.021210518693342083,116683318975.0,0.3004351471947243
4,7974,Stock_7974,0.64,1.0,0.7,0.1,10220.0,0.0328105271763304,69089308750.0,-0.14401091885588058
5,7203,Stock_7203,0.55,0.4,0.6,0.7,3622.0,0.022958625787934707,67224367050.0,0.218491852599899
