Rank,Code,CompanyName,TotalScore,Rank_Vol,Rank_Liq,Rank_Trend,Close,ATR_Ratio,MedianTurnover,TrendStrength
1,8035,Stock_8035,0.97,1.0,0.9,1.0,42590.0,0.034101751710214456,87338699500.0,0.4893888450838474
2,7011,Stock_7011,0.8,0.8,0.8,0.8,4800.0,0.02962004051015817,80039567750.0,0.29559532481303574
3,8306,Stock_8306,0.69,0.3,1.0,0.9,2964.0,0.02176074685529258,116683318975.0,0.33410214620107564
4,7974,Stock_7974,0.6000000000000001,0.9,0.7,0.1,10450.0,0.0328038731418131,69089308750.0,-0.12365920692050877
5,7203,Stock_7203,0.55,0.4,0.6,0.7,3714.0,0.02352161423668539,67224367050.0,0.2463485006009809
