Yahoo_Ticker,Code,銘柄名,Type,市場・商品区分,33業種区分,規模区分
6586.T,6586,マキタ,Stock,プライム（内国株式）,機械,TOPIX Mid400
6588.T,6588,東芝テック,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6590.T,6590,芝浦メカトロニクス,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6592.T,6592,マブチモーター,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6615.T,6615,ユー・エム・シー・エレクトロニクス,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6616.T,6616,トレックス・セミコンダクター,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6617.T,6617,東光高岳,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6619.T,6619,ダブル・スコープ,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6620.T,6620,宮越ホールディングス,Stock,プライム（内国株式）,不動産業,TOPIX Small 2
6622.T,6622,ダイヘン,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6630.T,6630,ヤーマン,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6632.T,6632,ＪＶＣケンウッド,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6638.T,6638,ミマキエンジニアリング,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6644.T,6644,大崎電気工業,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6645.T,6645,オムロン,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6651.T,6651,日東工業,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6652.T,6652,ＩＤＥＣ,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6674.T,6674,ジーエス・ユアサ　コーポレーション,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6676.T,6676,ＢＵＦＦＡＬＯ,Stock,スタンダード（内国株式）,電気機器,TOPIX Small 2
6678.T,6678,テクノメディカ,Stock,スタンダード（内国株式）,電気機器,TOPIX Small 2
6699.T,6699,ダイヤモンドエレクトリックホールディングス,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6701.T,6701,日本電気,Stock,プライム（内国株式）,電気機器,TOPIX Large70
6702.T,6702,富士通,Stock,プライム（内国株式）,電気機器,TOPIX Large70
6703.T,6703,沖電気工業,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6706.T,6706,電気興業,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6707.T,6707,サンケン電気,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6718.T,6718,アイホン,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6723.T,6723,ルネサスエレクトロニクス,Stock,プライム（内国株式）,電気機器,TOPIX Large70
6724.T,6724,セイコーエプソン,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6727.T,6727,ワコム,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6728.T,6728,アルバック,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6730.T,6730,アクセル,Stock,スタンダード（内国株式）,電気機器,TOPIX Small 2
6737.T,6737,ＥＩＺＯ,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6740.T,6740,ジャパンディスプレイ,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6741.T,6741,日本信号,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6742.T,6742,京三製作所,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6744.T,6744,能美防災,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6745.T,6745,ホーチキ,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6750.T,6750,エレコム,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6752.T,6752,パナソニック　ホールディングス,Stock,プライム（内国株式）,電気機器,TOPIX Large70
6753.T,6753,シャープ,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6754.T,6754,アンリツ,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6758.T,6758,ソニーグループ,Stock,プライム（内国株式）,電気機器,TOPIX Core30
6762.T,6762,ＴＤＫ,Stock,プライム（内国株式）,電気機器,TOPIX Large70
6763.T,6763,帝国通信工業,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6768.T,6768,タムラ製作所,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6770.T,6770,アルプスアルパイン,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6779.T,6779,日本電波工業,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6785.T,6785,鈴木,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6787.T,6787,メイコー,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6788.T,6788,日本トリム,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6794.T,6794,フォスター電機,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6798.T,6798,ＳＭＫ,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6800.T,6800,ヨコオ,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6804.T,6804,ホシデン,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6806.T,6806,ヒロセ電機,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6807.T,6807,日本航空電子工業,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6809.T,6809,ＴＯＡ,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6810.T,6810,マクセル,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6814.T,6814,古野電気,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6817.T,6817,スミダコーポレーション,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6820.T,6820,アイコム,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6823.T,6823,リオン,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6841.T,6841,横河電機,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6844.T,6844,新電元工業,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6845.T,6845,アズビル,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6849.T,6849,日本光電工業,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6850.T,6850,チノー,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6855.T,6855,日本電子材料,Stock,スタンダード（内国株式）,電気機器,TOPIX Small 2
6856.T,6856,堀場製作所,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6857.T,6857,アドバンテスト,Stock,プライム（内国株式）,電気機器,TOPIX Core30
6859.T,6859,エスペック,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6861.T,6861,キーエンス,Stock,プライム（内国株式）,電気機器,TOPIX Core30
6866.T,6866,日置電機,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6869.T,6869,シスメックス,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6871.T,6871,日本マイクロニクス,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6875.T,6875,メガチップス,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6877.T,6877,ＯＢＡＲＡ　ＧＲＯＵＰ,Stock,スタンダード（内国株式）,電気機器,TOPIX Small 2
6902.T,6902,デンソー,Stock,プライム（内国株式）,輸送用機器,TOPIX Large70
6905.T,6905,コーセル,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6908.T,6908,イリソ電子工業,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6914.T,6914,オプテックスグループ,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6915.T,6915,千代田インテグレ,Stock,スタンダード（内国株式）,電気機器,TOPIX Small 2
6920.T,6920,レーザーテック,Stock,プライム（内国株式）,電気機器,TOPIX Large70
6923.T,6923,スタンレー電気,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6925.T,6925,ウシオ電機,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6929.T,6929,日本セラミック,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6941.T,6941,山一電機,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6947.T,6947,図研,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6951.T,6951,日本電子,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6952.T,6952,カシオ計算機,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6954.T,6954,ファナック,Stock,プライム（内国株式）,電気機器,TOPIX Large70
6958.T,6958,日本シイエムケイ,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6961.T,6961,エンプラス,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6962.T,6962,大真空,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6963.T,6963,ローム,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6965.T,6965,浜松ホトニクス,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6966.T,6966,三井ハイテック,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6971.T,6971,京セラ,Stock,プライム（内国株式）,電気機器,TOPIX Large70
6976.T,6976,太陽誘電,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
6981.T,6981,村田製作所,Stock,プライム（内国株式）,電気機器,TOPIX Large70
6986.T,6986,双葉電子工業,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6988.T,6988,日東電工,Stock,プライム（内国株式）,化学,TOPIX Mid400
6995.T,6995,東海理化電機製作所,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 1
6996.T,6996,ニチコン,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
6997.T,6997,日本ケミコン,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
6999.T,6999,ＫＯＡ,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
7003.T,7003,三井Ｅ＆Ｓ,Stock,プライム（内国株式）,機械,TOPIX Mid400
7004.T,7004,カナデビア,Stock,プライム（内国株式）,機械,TOPIX Small 1
7011.T,7011,三菱重工業,Stock,プライム（内国株式）,機械,TOPIX Core30
7012.T,7012,川崎重工業,Stock,プライム（内国株式）,輸送用機器,TOPIX Mid400
7013.T,7013,ＩＨＩ,Stock,プライム（内国株式）,機械,TOPIX Mid400
7014.T,7014,名村造船所,Stock,スタンダード（内国株式）,輸送用機器,TOPIX Small 1
7033.T,7033,マネジメントソリューションズ,Stock,プライム（内国株式）,サービス業,TOPIX Small 2
7034.T,7034,プロレド・パートナーズ,Stock,プライム（内国株式）,サービス業,TOPIX Small 2
7038.T,7038,フロンティア・マネジメント,Stock,プライム（内国株式）,サービス業,TOPIX Small 2
7071.T,7071,アンビスホールディングス,Stock,プライム（内国株式）,サービス業,TOPIX Small 2
7085.T,7085,カーブスホールディングス,Stock,プライム（内国株式）,サービス業,TOPIX Small 1
7088.T,7088,フォーラムエンジニアリング,Stock,プライム（内国株式）,サービス業,TOPIX Small 2
7092.T,7092,Ｆａｓｔ　Ｆｉｔｎｅｓｓ　Ｊａｐａｎ,Stock,プライム（内国株式）,サービス業,TOPIX Small 2
7095.T,7095,Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,Stock,プライム（内国株式）,サービス業,TOPIX Small 2
7102.T,7102,日本車輌製造,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 2
7105.T,7105,三菱ロジスネクスト,Stock,スタンダード（内国株式）,輸送用機器,TOPIX Small 1
7128.T,7128,フルサト・マルカホールディングス,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
7130.T,7130,ヤマエグループホールディングス,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
7148.T,7148,ＦＰＧ,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 1
7157.T,7157,ライフネット生命保険,Stock,プライム（内国株式）,保険業,TOPIX Small 1
7164.T,7164,全国保証,Stock,プライム（内国株式）,その他金融業,TOPIX Mid400
7167.T,7167,めぶきフィナンシャルグループ,Stock,プライム（内国株式）,銀行業,TOPIX Mid400
7172.T,7172,ジャパンインベストメントアドバイザー,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 1
7173.T,7173,東京きらぼしフィナンシャルグループ,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
7180.T,7180,九州フィナンシャルグループ,Stock,プライム（内国株式）,銀行業,TOPIX Mid400
7181.T,7181,かんぽ生命保険,Stock,プライム（内国株式）,保険業,TOPIX Mid400
7182.T,7182,ゆうちょ銀行,Stock,プライム（内国株式）,銀行業,TOPIX Large70
7184.T,7184,富山第一銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
7186.T,7186,横浜フィナンシャルグループ,Stock,プライム（内国株式）,銀行業,TOPIX Mid400
7187.T,7187,ジェイリース,Stock,プライム（内国株式）,その他金融業,TOPIX Small 2
7189.T,7189,西日本フィナンシャルホールディングス,Stock,プライム（内国株式）,銀行業,TOPIX Mid400
7198.T,7198,ＳＢＩアルヒ,Stock,プライム（内国株式）,その他金融業,TOPIX Small 2
7199.T,7199,プレミアグループ,Stock,プライム（内国株式）,その他金融業,TOPIX Small 1
7201.T,7201,日産自動車,Stock,プライム（内国株式）,輸送用機器,TOPIX Mid400
7202.T,7202,いすゞ自動車,Stock,プライム（内国株式）,輸送用機器,TOPIX Mid400
7203.T,7203,トヨタ自動車,Stock,プライム（内国株式）,輸送用機器,TOPIX Core30
7205.T,7205,日野自動車,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 1
7211.T,7211,三菱自動車工業,Stock,プライム（内国株式）,輸送用機器,TOPIX Mid400
7220.T,7220,武蔵精密工業,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 1
7222.T,7222,日産車体,Stock,スタンダード（内国株式）,輸送用機器,TOPIX Small 2
7224.T,7224,新明和工業,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 1
7226.T,7226,極東開発工業,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 1
7231.T,7231,トピー工業,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 2
7236.T,7236,ティラド,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 2
7238.T,7238,曙ブレーキ工業,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 2
7239.T,7239,タチエス,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 1
7240.T,7240,ＮＯＫ,Stock,プライム（内国株式）,輸送用機器,TOPIX Mid400
7241.T,7241,フタバ産業,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 1
7242.T,7242,カヤバ,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 1
7244.T,7244,市光工業,Stock,プライム（内国株式）,電気機器,TOPIX Small 2
7245.T,7245,大同メタル工業,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 2
7246.T,7246,プレス工業,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 1
7250.T,7250,太平洋工業,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 1
7259.T,7259,アイシン,Stock,プライム（内国株式）,輸送用機器,TOPIX Mid400
7261.T,7261,マツダ,Stock,プライム（内国株式）,輸送用機器,TOPIX Mid400
7267.T,7267,本田技研工業,Stock,プライム（内国株式）,輸送用機器,TOPIX Core30
7269.T,7269,スズキ,Stock,プライム（内国株式）,輸送用機器,TOPIX Large70
7270.T,7270,ＳＵＢＡＲＵ,Stock,プライム（内国株式）,輸送用機器,TOPIX Large70
7272.T,7272,ヤマハ発動機,Stock,プライム（内国株式）,輸送用機器,TOPIX Mid400
7276.T,7276,小糸製作所,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
7278.T,7278,エクセディ,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 1
7280.T,7280,ミツバ,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
7282.T,7282,豊田合成,Stock,プライム（内国株式）,輸送用機器,TOPIX Mid400
7283.T,7283,愛三工業,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 1
7294.T,7294,ヨロズ,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 2
7296.T,7296,エフ・シー・シー,Stock,プライム（内国株式）,輸送用機器,TOPIX Small 1
7309.T,7309,シマノ,Stock,プライム（内国株式）,輸送用機器,TOPIX Large70
7313.T,7313,テイ・エス　テック,Stock,プライム（内国株式）,輸送用機器,TOPIX Mid400
7322.T,7322,三十三フィナンシャルグループ,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
7327.T,7327,第四北越フィナンシャルグループ,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
7337.T,7337,ひろぎんホールディングス,Stock,プライム（内国株式）,銀行業,TOPIX Mid400
7350.T,7350,おきなわフィナンシャルグループ,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
7354.T,7354,ダイレクトマーケティングミックス,Stock,プライム（内国株式）,サービス業,TOPIX Small 2
7358.T,7358,ポピンズ,Stock,スタンダード（内国株式）,サービス業,TOPIX Small 2
7366.T,7366,ＬＩＴＡＬＩＣＯ,Stock,プライム（内国株式）,サービス業,TOPIX Small 2
7380.T,7380,十六フィナンシャルグループ,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
7381.T,7381,ＣＣＩグループ,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
7383.T,7383,ネットプロテクションズホールディングス,Stock,プライム（内国株式）,その他金融業,TOPIX Small 1
7384.T,7384,プロクレアホールディングス,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
7388.T,7388,ＦＰパートナー,Stock,プライム（内国株式）,保険業,TOPIX Small 2
7389.T,7389,あいちフィナンシャルグループ,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
7414.T,7414,小野建,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7419.T,7419,ノジマ,Stock,プライム（内国株式）,小売業,TOPIX Small 1
7420.T,7420,佐鳥電機,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7421.T,7421,カッパ・クリエイト,Stock,プライム（内国株式）,小売業,TOPIX Small 1
7433.T,7433,伯東,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
7438.T,7438,コンドーテック,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7447.T,7447,ナガイレーベン,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7453.T,7453,良品計画,Stock,プライム（内国株式）,小売業,TOPIX Mid400
7456.T,7456,松田産業,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
7458.T,7458,第一興商,Stock,プライム（内国株式）,卸売業,TOPIX Mid400
7459.T,7459,メディパルホールディングス,Stock,プライム（内国株式）,卸売業,TOPIX Mid400
7463.T,7463,アドヴァングループ,Stock,スタンダード（内国株式）,小売業,TOPIX Small 2
7466.T,7466,ＳＰＫ,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7467.T,7467,萩原電気ホールディングス,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7475.T,7475,アルビス,Stock,プライム（内国株式）,小売業,TOPIX Small 2
7476.T,7476,アズワン,Stock,プライム（内国株式）,卸売業,TOPIX Mid400
7480.T,7480,スズデン,Stock,スタンダード（内国株式）,卸売業,TOPIX Small 2
7482.T,7482,シモジマ,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7483.T,7483,ドウシシャ,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7504.T,7504,高速,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7508.T,7508,Ｇ‐７ホールディングス,Stock,プライム（内国株式）,小売業,TOPIX Small 2
7510.T,7510,たけびし,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7512.T,7512,イオン北海道,Stock,スタンダード（内国株式）,小売業,TOPIX Small 1
7513.T,7513,コジマ,Stock,プライム（内国株式）,小売業,TOPIX Small 1
7516.T,7516,コーナン商事,Stock,プライム（内国株式）,小売業,TOPIX Small 1
7520.T,7520,エコス,Stock,プライム（内国株式）,小売業,TOPIX Small 2
7522.T,7522,ワタミ,Stock,プライム（内国株式）,小売業,TOPIX Small 2
7525.T,7525,リックス,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7527.T,7527,システムソフト,Stock,スタンダード（内国株式）,情報・通信業,TOPIX Small 2
7532.T,7532,パン・パシフィック・インターナショナルホールディングス,Stock,プライム（内国株式）,小売業,TOPIX Mid400
7537.T,7537,丸文,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7545.T,7545,西松屋チェーン,Stock,プライム（内国株式）,小売業,TOPIX Small 1
7550.T,7550,ゼンショーホールディングス,Stock,プライム（内国株式）,小売業,TOPIX Mid400
7552.T,7552,ハピネット,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
7554.T,7554,幸楽苑,Stock,プライム（内国株式）,小売業,TOPIX Small 2
7570.T,7570,橋本総業ホールディングス,Stock,スタンダード（内国株式）,卸売業,TOPIX Small 2
7575.T,7575,日本ライフライン,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
7581.T,7581,サイゼリヤ,Stock,プライム（内国株式）,小売業,TOPIX Small 1
7590.T,7590,タカショー,Stock,スタンダード（内国株式）,卸売業,TOPIX Small 2
7593.T,7593,ＶＴホールディングス,Stock,プライム（内国株式）,小売業,TOPIX Small 1
7595.T,7595,アルゴグラフィックス,Stock,プライム（内国株式）,情報・通信業,TOPIX Small 1
7596.T,7596,魚力,Stock,プライム（内国株式）,小売業,TOPIX Small 2
7599.T,7599,ＩＤＯＭ,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
7600.T,7600,日本エム・ディ・エム,Stock,プライム（内国株式）,精密機器,TOPIX Small 2
7606.T,7606,ユナイテッドアローズ,Stock,プライム（内国株式）,小売業,TOPIX Small 1
7607.T,7607,進和,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7609.T,7609,ダイトロン,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7611.T,7611,ハイデイ日高,Stock,プライム（内国株式）,小売業,TOPIX Small 1
7613.T,7613,シークス,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
7616.T,7616,コロワイド,Stock,プライム（内国株式）,小売業,TOPIX Mid400
7628.T,7628,オーハシテクニカ,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7630.T,7630,壱番屋,Stock,プライム（内国株式）,小売業,TOPIX Small 1
7637.T,7637,白銅,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
7649.T,7649,スギホールディングス,Stock,プライム（内国株式）,小売業,TOPIX Mid400
7679.T,7679,薬王堂ホールディングス,Stock,プライム（内国株式）,小売業,TOPIX Small 2
7683.T,7683,ダブルエー,Stock,プライム（内国株式）,小売業,TOPIX Small 2
7701.T,7701,島津製作所,Stock,プライム（内国株式）,精密機器,TOPIX Mid400
7702.T,7702,ＪＭＳ,Stock,スタンダード（内国株式）,精密機器,TOPIX Small 2
7715.T,7715,長野計器,Stock,プライム（内国株式）,精密機器,TOPIX Small 2
7717.T,7717,ブイ・テクノロジー,Stock,プライム（内国株式）,精密機器,TOPIX Small 2
7718.T,7718,スター精密,Stock,プライム（内国株式）,機械,TOPIX Small 1
7721.T,7721,東京計器,Stock,プライム（内国株式）,精密機器,TOPIX Small 1
7723.T,7723,愛知時計電機,Stock,プライム（内国株式）,精密機器,TOPIX Small 2
7725.T,7725,インターアクション,Stock,プライム（内国株式）,精密機器,TOPIX Small 2
7729.T,7729,東京精密,Stock,プライム（内国株式）,精密機器,TOPIX Mid400
7730.T,7730,マニー,Stock,プライム（内国株式）,精密機器,TOPIX Small 1
7731.T,7731,ニコン,Stock,プライム（内国株式）,精密機器,TOPIX Mid400
7733.T,7733,オリンパス,Stock,プライム（内国株式）,精密機器,TOPIX Large70
7734.T,7734,理研計器,Stock,プライム（内国株式）,精密機器,TOPIX Small 1
7735.T,7735,ＳＣＲＥＥＮホールディングス,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
7739.T,7739,キヤノン電子,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
7740.T,7740,タムロン,Stock,プライム（内国株式）,精密機器,TOPIX Small 1
7741.T,7741,ＨＯＹＡ,Stock,プライム（内国株式）,精密機器,TOPIX Core30
7744.T,7744,ノーリツ鋼機,Stock,プライム（内国株式）,精密機器,TOPIX Small 1
7745.T,7745,Ａ＆Ｄホロンホールディングス,Stock,プライム（内国株式）,精密機器,TOPIX Small 1
7747.T,7747,朝日インテック,Stock,プライム（内国株式）,精密機器,TOPIX Mid400
7751.T,7751,キヤノン,Stock,プライム（内国株式）,電気機器,TOPIX Large70
7752.T,7752,リコー,Stock,プライム（内国株式）,電気機器,TOPIX Mid400
7762.T,7762,シチズン時計,Stock,プライム（内国株式）,精密機器,TOPIX Small 1
7780.T,7780,メニコン,Stock,プライム（内国株式）,精密機器,TOPIX Small 1
7817.T,7817,パラマウントベッドホールディングス,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
7818.T,7818,トランザクション,Stock,プライム（内国株式）,その他製品,TOPIX Small 2
7820.T,7820,ニホンフラッシュ,Stock,プライム（内国株式）,その他製品,TOPIX Small 2
7821.T,7821,前田工繊,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
7823.T,7823,アートネイチャー,Stock,スタンダード（内国株式）,その他製品,TOPIX Small 2
7826.T,7826,フルヤ金属,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
7832.T,7832,バンダイナムコホールディングス,Stock,プライム（内国株式）,その他製品,TOPIX Large70
7839.T,7839,ＳＨＯＥＩ,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
7840.T,7840,フランスベッドホールディングス,Stock,プライム（内国株式）,その他製品,TOPIX Small 2
7844.T,7844,マーベラス,Stock,プライム（内国株式）,情報・通信業,TOPIX Small 2
7846.T,7846,パイロットコーポレーション,Stock,プライム（内国株式）,その他製品,TOPIX Mid400
7856.T,7856,萩原工業,Stock,プライム（内国株式）,その他製品,TOPIX Small 2
7860.T,7860,エイベックス,Stock,プライム（内国株式）,情報・通信業,TOPIX Small 1
7864.T,7864,フジシールインターナショナル,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
7867.T,7867,タカラトミー,Stock,プライム（内国株式）,その他製品,TOPIX Mid400
7868.T,7868,広済堂ホールディングス,Stock,プライム（内国株式）,その他製品,TOPIX Small 2
7874.T,7874,レック,Stock,プライム（内国株式）,化学,TOPIX Small 2
7888.T,7888,三光合成,Stock,プライム（内国株式）,化学,TOPIX Small 2
7893.T,7893,プロネクサス,Stock,プライム（内国株式）,その他製品,TOPIX Small 2
7911.T,7911,ＴＯＰＰＡＮホールディングス,Stock,プライム（内国株式）,その他製品,TOPIX Mid400
7912.T,7912,大日本印刷,Stock,プライム（内国株式）,その他製品,TOPIX Mid400
7914.T,7914,共同印刷,Stock,プライム（内国株式）,その他製品,TOPIX Small 2
7915.T,7915,ＮＩＳＳＨＡ,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
7917.T,7917,ＺＡＣＲＯＳ,Stock,プライム（内国株式）,化学,TOPIX Small 2
7921.T,7921,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,Stock,プライム（内国株式）,その他製品,TOPIX Small 2
7925.T,7925,前澤化成工業,Stock,プライム（内国株式）,化学,TOPIX Small 2
7931.T,7931,未来工業,Stock,プライム（内国株式）,化学,TOPIX Small 2
7936.T,7936,アシックス,Stock,プライム（内国株式）,その他製品,TOPIX Large70
7937.T,7937,ツツミ,Stock,スタンダード（内国株式）,その他製品,TOPIX Small 2
7942.T,7942,ＪＳＰ,Stock,プライム（内国株式）,化学,TOPIX Small 2
7943.T,7943,ニチハ,Stock,プライム（内国株式）,ガラス・土石製品,TOPIX Small 1
7944.T,7944,ローランド,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
7947.T,7947,エフピコ,Stock,プライム（内国株式）,化学,TOPIX Small 1
7949.T,7949,小松ウオール工業,Stock,プライム（内国株式）,その他製品,TOPIX Small 2
7951.T,7951,ヤマハ,Stock,プライム（内国株式）,その他製品,TOPIX Mid400
7952.T,7952,河合楽器製作所,Stock,プライム（内国株式）,その他製品,TOPIX Small 2
